Epoch,Train Loss,Valid Loss,Valid Dice
1,1.1109166043673375,0.8596165499021841,0.2436281858488571
2,0.8671940615934919,0.8108542644700338,0.33636234666025916
3,0.8578309079473333,0.8127114384673363,0.3151245394418406
4,0.8307083743487218,0.8125958137733992,0.3412243384261464
5,0.8248608047647994,0.8160639807235363,0.3593976525373237
6,0.8187136807182963,0.7843073509460272,0.3840234071709389
7,0.8296970156736152,0.8302974562312282,0.33933858677398326
8,0.8394419375316117,0.7944637204325476,0.3694958042266757
9,0.8088809912518937,0.7803114486295123,0.37560739905335183
10,0.8035738851672919,0.7767071904138078,0.3742581702942072
11,0.7893443648205247,0.7610676787620367,0.39785713442536286
12,0.7934458375901214,0.7609482643216156,0.4169968636923058
