Epoch,Train Loss,Valid Loss,Valid Dice
1,1.1119422556895688,0.8486487718864724,0.3916666391160753
2,0.7128458138625299,0.6249164971598873,0.45631649883314435
3,0.6259858721539875,0.6965491815849587,0.40207894100083247
4,0.5984708178841238,0.6096864238491765,0.45229621586976226
5,0.5762733875860132,0.6803036789540892,0.4255633078681098
6,0.5514940343357493,0.535145581651617,0.5278879835649773
7,0.539968419774625,0.5426821309107321,0.5157399298526623
8,0.5247124540424567,0.5258938173011497,0.5446991929080751
9,0.5133999284593885,0.5350855583614773,0.5213970303476823
10,0.5028982676769537,0.467057968598825,0.5904217042304851
11,0.4921899347308442,0.47301246448799417,0.5823268201515354
12,0.496489294067374,0.4628614909560592,0.5924070061681894
13,0.4716865910659951,0.4613555747491342,0.5951510726964032
14,0.46769601086991636,0.48011599531880134,0.571450821823544
15,0.4677887875138436,0.4500662105171769,0.6020479151937697
16,0.46125968068867595,0.4992189202485261,0.5485748614205255
17,0.45326058535618313,0.4545594795986458,0.5963649729446129
18,0.4527707885996249,0.4452352257128115,0.6026512478182174
19,0.44395567256155244,0.46961562355359393,0.5840393691592747
20,0.4417236243149568,0.43550691145437737,0.6123639313379924
21,0.42737757405981625,0.43048727601766584,0.6143109223577712
22,0.42941307236937615,0.4248325185422544,0.6240248811686481
23,0.4206663687979668,0.46925455386991854,0.574594725061346
24,0.4110358432205526,0.4448943272343388,0.6078768453774629
25,0.4111906141877921,0.42045255837617096,0.6292757356608355
26,0.4034963630034198,0.40368761557119864,0.6422609977810471
27,0.3968580534335925,0.46073302427927654,0.6013955865082917
28,0.38405989269651364,0.36742323535460014,0.6772354784718266
29,0.3745797789808236,0.39865929585916027,0.6474225519763099
30,0.3697773575035998,0.3842590089639028,0.6596615203221639
31,0.3686000074917359,0.3792441682462339,0.6644498864809673
32,0.3644722717609336,0.3736257463031345,0.6709534149699741
33,0.3582090011061201,0.37646242848149053,0.668475071371855
34,0.35186866414633433,0.36748610567163537,0.6837302160263061
35,0.3429223442093358,0.4150276647673713,0.6364936934577095
36,0.34271711037373565,0.34663376635975307,0.6950054045076723
37,0.3333285061431882,0.36382674596927783,0.677437319137432
38,0.3361803368888513,0.3768140436101843,0.6719645950418931
39,0.3321659377589699,0.3423151576960528,0.6990297740477103
40,0.3249663653996295,0.35834911397209873,0.6889401749328331
41,0.3214514364002956,0.35465194728639393,0.6872031581843341
42,0.3178467211002491,0.3560283651175322,0.6890191131167942
43,0.3141876520239556,0.3800212423889725,0.6646126031434094
44,0.3192485286444278,0.3503862927136598,0.6935002371116921
45,0.30742097771525423,0.33333428930353237,0.7088544208473629
46,0.3020732507178424,0.3362890562083986,0.7069960761953283
47,0.29846947017456493,0.34159012379469694,0.7025375939740075
